epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.56,4.48038,5.94995,1.74252,0,0,0,0,0,0,0,0,0.0700257,0.00333048,0.00333048
2,395.744,1.74234,2.75012,1.00672,0,0,0,0,0,0,0,0,0.0400079,0.00664605,0.00664605
3,591.887,1.53559,2.42181,0.90038,0,0,0,0,0,0,0,0,0.00997234,0.00994383,0.00994383
4,787.556,1.37723,2.20099,0.84721,0,0,0,0,0,0,0,0,0.00992,0.00992,0.00992
5,983.366,1.30353,2.01414,0.82168,0,0,0,0,0,0,0,0,0.00989333,0.00989333,0.00989333
6,1179.24,1.23967,1.88876,0.80413,0,0,0,0,0,0,0,0,0.00986667,0.00986667,0.00986667
7,1374.57,1.15127,1.81705,0.79465,0,0,0,0,0,0,0,0,0.00984,0.00984,0.00984
8,1570.13,1.17229,1.75263,0.78941,0,0,0,0,0,0,0,0,0.00981333,0.00981333,0.00981333
9,1765.96,1.14005,1.69985,0.78063,0,0,0,0,0,0,0,0,0.00978667,0.00978667,0.00978667
10,1961.16,1.11871,1.67035,0.76817,0,0,0,0,0,0,0,0,0.00976,0.00976,0.00976
11,2157.08,1.13208,1.62079,0.76817,0,0,0,0,0,0,0,0,0.00973333,0.00973333,0.00973333
12,2352.89,1.07376,1.615,0.7652,0,0,0,0,0,0,0,0,0.00970667,0.00970667,0.00970667
13,2548.24,1.13341,1.56134,0.75871,0,0,0,0,0,0,0,0,0.00968,0.00968,0.00968
14,2743.69,1.06474,1.53082,0.75559,0,0,0,0,0,0,0,0,0.00965333,0.00965333,0.00965333
15,2938.89,1.04036,1.54524,0.75767,0,0,0,0,0,0,0,0,0.00962667,0.00962667,0.00962667
16,3134.73,1.03696,1.51036,0.75119,0,0,0,0,0,0,0,0,0.0096,0.0096,0.0096
17,3330.15,1.07741,1.49412,0.74769,0,0,0,0,0,0,0,0,0.00957333,0.00957333,0.00957333
18,3525.58,1.02915,1.47759,0.74648,0,0,0,0,0,0,0,0,0.00954667,0.00954667,0.00954667
19,3721.32,1.05113,1.44636,0.74335,0,0,0,0,0,0,0,0,0.00952,0.00952,0.00952
20,3916.9,1.07069,1.45325,0.7472,0,0,0,0,0,0,0,0,0.00949333,0.00949333,0.00949333
21,4112.17,1.01654,1.43809,0.7388,0,0,0,0,0,0,0,0,0.00946667,0.00946667,0.00946667
22,4307.23,0.99024,1.43487,0.73954,0,0,0,0,0,0,0,0,0.00944,0.00944,0.00944
23,4502.67,1.02024,1.40857,0.73934,0,0,0,0,0,0,0,0,0.00941333,0.00941333,0.00941333
