epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.35,4.64771,6.02988,1.70921,0,0,0,0,0,0,0,0,0.0700257,0.00333048,0.00333048
2,396.829,1.76915,2.68093,0.98512,0,0,0,0,0,0,0,0,0.0400079,0.00664605,0.00664605
3,593.033,1.56582,2.34484,0.88158,0,0,0,0,0,0,0,0,0.00997234,0.00994383,0.00994383
4,788.503,1.40275,2.11109,0.83026,0,0,0,0,0,0,0,0,0.00992,0.00992,0.00992
5,984.625,1.31932,1.9296,0.80404,0,0,0,0,0,0,0,0,0.00989333,0.00989333,0.00989333
6,1180.57,1.25163,1.80501,0.78668,0,0,0,0,0,0,0,0,0.00986667,0.00986667,0.00986667
7,1375.97,1.15852,1.71749,0.77525,0,0,0,0,0,0,0,0,0.00984,0.00984,0.00984
8,1571.87,1.18459,1.65575,0.77055,0,0,0,0,0,0,0,0,0.00981333,0.00981333,0.00981333
9,1767.32,1.14374,1.59293,0.76168,0,0,0,0,0,0,0,0,0.00978667,0.00978667,0.00978667
10,1962.92,1.12342,1.56413,0.74915,0,0,0,0,0,0,0,0,0.00976,0.00976,0.00976
11,2158.42,1.13689,1.51586,0.7494,0,0,0,0,0,0,0,0,0.00973333,0.00973333,0.00973333
12,2353.88,1.07439,1.50076,0.74595,0,0,0,0,0,0,0,0,0.00970667,0.00970667,0.00970667
13,2548.73,1.14246,1.45556,0.7416,0,0,0,0,0,0,0,0,0.00968,0.00968,0.00968
14,2744.35,1.06607,1.42359,0.73794,0,0,0,0,0,0,0,0,0.00965333,0.00965333,0.00965333
15,2939.44,1.0486,1.42255,0.73989,0,0,0,0,0,0,0,0,0.00962667,0.00962667,0.00962667
16,3134.43,1.04189,1.3917,0.73268,0,0,0,0,0,0,0,0,0.0096,0.0096,0.0096
17,3329.83,1.08454,1.39211,0.7308,0,0,0,0,0,0,0,0,0.00957333,0.00957333,0.00957333
18,3525.48,1.03468,1.3691,0.73043,0,0,0,0,0,0,0,0,0.00954667,0.00954667,0.00954667
19,3721.09,1.04462,1.34241,0.72614,0,0,0,0,0,0,0,0,0.00952,0.00952,0.00952
20,3916.74,1.07063,1.34558,0.72951,0,0,0,0,0,0,0,0,0.00949333,0.00949333,0.00949333
21,4112.01,1.01679,1.32449,0.72186,0,0,0,0,0,0,0,0,0.00946667,0.00946667,0.00946667
22,4307.62,0.98785,1.32636,0.72225,0,0,0,0,0,0,0,0,0.00944,0.00944,0.00944
23,4502.94,1.01437,1.30005,0.72133,0,0,0,0,0,0,0,0,0.00941333,0.00941333,0.00941333
24,4698.69,0.98921,1.29736,0.71935,0,0,0,0,0,0,0,0,0.00938667,0.00938667,0.00938667
25,4894.12,1.01719,1.28636,0.72199,0,0,0,0,0,0,0,0,0.00936,0.00936,0.00936
26,5089.56,0.96453,1.28844,0.71771,0,0,0,0,0,0,0,0,0.00933333,0.00933333,0.00933333
27,5284.68,0.97743,1.26712,0.71604,0,0,0,0,0,0,0,0,0.00930667,0.00930667,0.00930667
28,5480.4,0.94334,1.27526,0.71644,0,0,0,0,0,0,0,0,0.00928,0.00928,0.00928
29,5675.71,0.96078,1.27504,0.71586,0,0,0,0,0,0,0,0,0.00925333,0.00925333,0.00925333
30,5870.96,0.96661,1.25216,0.71189,0,0,0,0,0,0,0,0,0.00922667,0.00922667,0.00922667
31,6066.26,0.97664,1.22989,0.71397,0,0,0,0,0,0,0,0,0.0092,0.0092,0.0092
32,6261.63,0.92086,1.23954,0.71509,0,0,0,0,0,0,0,0,0.00917333,0.00917333,0.00917333
33,6456.72,0.97454,1.22491,0.71282,0,0,0,0,0,0,0,0,0.00914667,0.00914667,0.00914667
34,6652.41,0.95345,1.23626,0.71172,0,0,0,0,0,0,0,0,0.00912,0.00912,0.00912
35,6847.45,0.95384,1.2112,0.70984,0,0,0,0,0,0,0,0,0.00909333,0.00909333,0.00909333
36,7042.74,0.93591,1.21394,0.70734,0,0,0,0,0,0,0,0,0.00906667,0.00906667,0.00906667
37,7238.19,0.93867,1.23501,0.71155,0,0,0,0,0,0,0,0,0.00904,0.00904,0.00904
38,7433.66,0.96251,1.22383,0.70669,0,0,0,0,0,0,0,0,0.00901333,0.00901333,0.00901333
39,7629.35,0.96814,1.19663,0.70393,0,0,0,0,0,0,0,0,0.00898667,0.00898667,0.00898667
40,7824.47,0.90684,1.20187,0.70401,0,0,0,0,0,0,0,0,0.00896,0.00896,0.00896
41,8020.3,0.89268,1.19701,0.70449,0,0,0,0,0,0,0,0,0.00893333,0.00893333,0.00893333
42,8215.69,0.92269,1.1883,0.70252,0,0,0,0,0,0,0,0,0.00890667,0.00890667,0.00890667
