epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7834,12.7737,6.06877,2.73022,0.00488,0.18389,0.00644,0.00032,0.00152,6.73185,3.73015,1.94977,0.0704545,0.00328283,0.00328283
2,63.7401,3.55246,2.7282,1.43197,0.21686,0.29016,0.1442,0.00436,0.03379,1.81868,2.59668,1.23866,0.0404016,0.00656323,0.00656323
3,92.3748,2.33722,2.28641,1.1203,0.11859,0.16843,0.04921,0.00098,0.00998,2.19484,2.44368,1.37475,0.0102954,0.0097903,0.0097903
4,120.868,2.04956,2.01873,0.98585,0.30922,0.29435,0.22517,0.01029,0.05823,1.6973,1.90525,1.11466,0.00976,0.00976,0.00976
5,149.528,1.79547,1.77245,0.92766,0.50574,0.39135,0.4053,0.03681,0.12777,1.42795,2.09059,0.96004,0.00968,0.00968,0.00968
6,178.113,1.88057,1.68098,0.90071,0.17043,0.18924,0.08319,0.00189,0.01763,2.06186,1.99245,1.23674,0.0096,0.0096,0.0096
7,206.672,1.7647,1.59096,0.88735,0.65316,0.55212,0.60171,0.0598,0.19972,1.38608,1.49432,0.91761,0.00952,0.00952,0.00952
8,235.336,1.84531,1.48527,0.85661,0.42475,0.3639,0.31943,0.01125,0.07931,1.7017,1.84098,1.03958,0.00944,0.00944,0.00944
9,263.929,1.77842,1.44524,0.85881,0.57815,0.47333,0.50132,0.05272,0.16846,1.42066,1.57769,0.92631,0.00936,0.00936,0.00936
10,292.645,1.65929,1.42336,0.85296,0.62631,0.55051,0.56494,0.04586,0.17276,1.41552,1.3872,0.9335,0.00928,0.00928,0.00928
11,321.422,1.60411,1.37438,0.84417,0.7867,0.69105,0.76636,0.11198,0.28361,1.22601,1.20787,0.85711,0.0092,0.0092,0.0092
12,350.175,1.60947,1.31298,0.83346,0.76099,0.66459,0.71641,0.08234,0.24517,1.26424,1.24178,0.87451,0.00912,0.00912,0.00912
13,378.914,1.56497,1.30886,0.82532,0.80877,0.71086,0.77533,0.10296,0.28439,1.24233,1.22937,0.86369,0.00904,0.00904,0.00904
14,407.555,1.63989,1.26205,0.81796,0.67472,0.56197,0.58571,0.04068,0.17287,1.43078,1.34721,0.94625,0.00896,0.00896,0.00896
15,436.223,1.60181,1.24043,0.81825,0.49259,0.40986,0.36325,0.01475,0.09079,1.66597,1.45953,1.05864,0.00888,0.00888,0.00888
16,464.752,1.64675,1.24539,0.81385,0.65265,0.52219,0.54516,0.03925,0.16205,1.43072,1.35844,0.9402,0.0088,0.0088,0.0088
17,493.568,1.58424,1.21679,0.81351,0.83673,0.76016,0.81092,0.1007,0.29022,1.19223,1.16915,0.84056,0.00872,0.00872,0.00872
18,522.426,1.56372,1.20618,0.81129,0.69445,0.59419,0.61065,0.04342,0.18428,1.35969,1.31558,0.91022,0.00864,0.00864,0.00864
19,550.89,1.58008,1.17091,0.80434,0.81805,0.70524,0.77447,0.09675,0.2748,1.23162,1.12685,0.86248,0.00856,0.00856,0.00856
20,579.669,1.52213,1.14805,0.79699,0.83248,0.72792,0.78965,0.08912,0.27304,1.26861,1.11023,0.87235,0.00848,0.00848,0.00848
21,608.258,1.5783,1.15069,0.79408,0.74671,0.65805,0.664,0.0494,0.20157,1.35053,1.14055,0.90959,0.0084,0.0084,0.0084
22,636.828,1.5418,1.13198,0.80253,0.79734,0.70146,0.75623,0.08316,0.25645,1.27728,1.13027,0.87882,0.00832,0.00832,0.00832
23,665.484,1.49133,1.13551,0.79835,0.8523,0.70348,0.78678,0.10447,0.28011,1.24519,1.09726,0.86683,0.00824,0.00824,0.00824
24,694.174,1.54421,1.11504,0.80371,0.82334,0.74078,0.79169,0.08878,0.27493,1.24246,1.07876,0.86773,0.00816,0.00816,0.00816
25,722.992,1.57586,1.10191,0.80137,0.8316,0.7191,0.7577,0.07413,0.24572,1.26497,1.07185,0.88604,0.00808,0.00808,0.00808
26,751.779,1.6401,1.08703,0.79884,0.83128,0.71442,0.77076,0.07905,0.25973,1.24222,1.05415,0.874,0.008,0.008,0.008
27,780.317,1.49448,1.08518,0.79256,0.80725,0.67197,0.74133,0.08522,0.25748,1.25366,1.16783,0.86448,0.00792,0.00792,0.00792
28,808.896,1.55359,1.06768,0.7967,0.75927,0.61472,0.66058,0.04875,0.20121,1.3643,1.14987,0.92947,0.00784,0.00784,0.00784
29,837.449,1.5111,1.06255,0.7962,0.83696,0.71462,0.79139,0.09126,0.27406,1.24,1.1048,0.86462,0.00776,0.00776,0.00776
