epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.233,6.55109,4.43214,2.15297,0.02243,0.06148,0.02142,0.00386,0.00753,7.01833,3.2283,1.55671,0.0700556,0.00332716,0.00332716
2,246.537,3.28621,2.97391,1.30607,0.17229,0.07768,0.04826,0.01073,0.01833,6.08716,2.58982,1.23599,0.0400378,0.00664273,0.00664273
3,366.811,2.63704,2.44479,1.06904,0.24673,0.13125,0.09889,0.04257,0.04739,4.58897,2.06519,1.00736,0.0100023,0.00994053,0.00994053
4,486.886,2.44518,2.13258,0.9712,0.20038,0.17662,0.13863,0.06363,0.0698,4.09705,1.82572,0.92043,0.00992,0.00992,0.00992
5,607.142,2.20427,1.94099,0.91347,0.21898,0.21332,0.1662,0.07962,0.08567,3.77377,1.66711,0.87653,0.00989333,0.00989333,0.00989333
6,727.988,2.10432,1.79249,0.88241,0.27565,0.25396,0.21134,0.1133,0.11591,3.44819,1.50626,0.83365,0.00986667,0.00986667,0.00986667
7,848.416,1.97224,1.68317,0.85696,0.30133,0.25739,0.22747,0.12305,0.1251,3.40082,1.46858,0.82695,0.00984,0.00984,0.00984
8,968.762,1.90977,1.61608,0.84318,0.31447,0.27538,0.24828,0.13011,0.13509,3.30454,1.42638,0.81245,0.00981333,0.00981333,0.00981333
9,1088.58,1.83345,1.55226,0.82755,0.34595,0.29672,0.27424,0.14702,0.15166,3.13754,1.35719,0.80122,0.00978667,0.00978667,0.00978667
10,1208.49,1.79913,1.51634,0.82042,0.37148,0.29148,0.28293,0.15633,0.15857,3.10779,1.34695,0.7925,0.00976,0.00976,0.00976
11,1328.74,1.73661,1.47969,0.81391,0.38123,0.31383,0.29749,0.16674,0.16791,3.01354,1.30602,0.78283,0.00973333,0.00973333,0.00973333
12,1450.71,1.81179,1.44953,0.81078,0.38963,0.32368,0.30643,0.16679,0.17177,2.97281,1.28508,0.78061,0.00970667,0.00970667,0.00970667
